id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
674589935445605774,Lovely 1-bedroom in the heart of the South End,171152296,Sam,,South End,42.34203,-71.07141,Entire home/apt,133,91,2,2023-08-07,0.13,1,365,1,
675147276041216943,"Blueground | N. Station, w/d & gym, nr td garden",107434423,Blueground,,Downtown,42.365947,-71.063473,Entire home/apt,253,32,1,2023-06-12,0.10,372,362,1,
676257209720573421,Top quality one bed apt w 2 beds in heart boston,373675137,Liya,,Beacon Hill,42.35907,-71.06728,Entire home/apt,120,29,6,2024-01-20,0.37,48,109,4,
676483872976026157,"Blueground | Downtown, gym, nr theater district",107434423,Blueground,,Downtown,42.3511858,-71.06401699999999,Entire home/apt,313,32,0,,,372,316,0,
676660060521076230,South Bos. W. Broadway - 1 BR 1 BA #301,814298,Thatch,,South Boston,42.34268369999999,-71.05653339999999,Entire home/apt,151,1,41,2024-03-12,2.03,59,136,27,Exempt: This listing is a hotel or motel
676691058261718660,South Bos. W Broadway - 1 BR 1 BA #401,814298,Thatch,,South Boston,42.34268369999999,-71.05653339999999,Entire home/apt,151,1,22,2024-02-17,1.16,59,135,15,Exempt: This listing is a hotel or motel
676714196426024227,South Bos. W Broadway - 1 BR 1 BA #201,814298,Thatch,,South Boston,42.34268369999999,-71.05653339999999,Entire home/apt,151,1,29,2024-03-12,1.55,59,134,23,Exempt: This listing is a hotel or motel
676859212424870949,Renovated Top Floor 1 Bedroom Condo in Savin Hill,31340713,Kama,,Dorchester,42.31135,-71.04706,Entire home/apt,110,31,4,2023-11-11,0.52,29,358,4,Exempt: This listing is a unit that has contracts with hospitals
676898605599494749,Renovated Top Floor 1 Bedroom Condo in Savin Hill,266312920,STARS Of,,Dorchester,42.31147,-71.04605,Entire home/apt,110,30,0,,,28,92,0,Exempt: This listing is a unit used for furnished institutional or business stays
677637597503515284,Private Bedroom in Allston/Close to Harvard (1),255801185,Nelida,,Allston,42.3589531,-71.12857869999999,Private room,69,29,2,2024-01-05,0.10,3,269,1,Exempt: This listing is a unit used for furnished institutional or business stays
678390600360994715,South Boston Stunner w/ Backyard Oasis,20062444,Dan,,South Boston,42.3361284,-71.0483143,Entire home/apt,425,3,18,2023-11-19,1.08,1,103,14,STR-486785
678979256927647544,Sonder The Magnolia | Full Suite+,224829568,Sonder (Boston),,Back Bay,42.34914,-71.0807,Entire home/apt,,29,29,2023-10-24,1.44,21,360,7,LB-463019
678980956677843680,Sonder The Magnolia | Accessible Full Suite+,224829568,Sonder (Boston),,Back Bay,42.35039,-71.0821,Entire home/apt,344,2,13,2023-12-17,0.68,21,217,6,Exempt: This listing is a hotel or motel
678981779910322461,Sonder The Magnolia | Superior Full Suite+,224829568,Sonder (Boston),,Back Bay,42.35057,-71.08177,Entire home/apt,430,2,62,2024-02-28,3.06,21,361,32,Exempt: This listing is a hotel or motel
679872149548804915,Love and tranquility,135920429,Wendy And Juan,,Mattapan,42.27871,-71.09947,Private room,45,3,13,2024-03-16,0.69,2,281,8,STR-459557
679963181191706468,Sunny Master Bedroom w/ Shared Bath in Clean Apt,2356643,StayNue,,Brighton,42.35151,-71.16219,Private room,35,1,15,2024-02-18,0.79,52,324,5,STR-484106
680165867255183002,"Blueground | N. Station, w/d & gym, nr td garden",107434423,Blueground,,Downtown,42.365947,-71.063473,Entire home/apt,190,32,0,,,372,2,0,
